file,class,method,variable,usage
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\action\LivroDestaqueAction.java,tcc.legado.action.LivroDestaqueAction,"editar/4[tcc.legado.action.ActionMapping,tcc.legado.action.ActionForm,tcc.legado.action.HttpServletRequest,tcc.legado.action.HttpServletResponse]",dao,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\job\MultaDiariaJob.java,tcc.legado.job.MultaDiariaJob,execute/1[tcc.legado.job.JobExecutionContext],LOG,3
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,"calcularMulta/3[tcc.legado.model.Emprestimo,java.lang.String,java.time.LocalDate]",LOG,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,registrarDevolucao/1[java.lang.Long],emprestimoDAO,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,registrarDevolucao/1[java.lang.Long],LOG,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,registrarDevolucao/1[java.lang.Long],usuarioDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,registrarDevolucao/1[java.lang.Long],livroDAO,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,buscarAtrasados/0,emprestimoDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,buscarPorId/1[java.lang.Long],emprestimoDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,"criarEmprestimo/2[java.lang.Long,java.lang.String]",emprestimoDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,"criarEmprestimo/2[java.lang.Long,java.lang.String]",LOG,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,"criarEmprestimo/2[java.lang.Long,java.lang.String]",usuarioDAO,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,"criarEmprestimo/2[java.lang.Long,java.lang.String]",livroService,1
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,"criarEmprestimo/2[java.lang.Long,java.lang.String]",livroDAO,2
C:\desenvolvimento\tcc-legado\monolito-biblioteca\src\main\java\tcc\legado\service\EmprestimoService.java,tcc.legado.service.EmprestimoService,atualizarMultasAtrasadas/0,emprestimoDAO,2
